"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"Codigo";"Sigla";"Nome";"DataIns";"DataAlt";"RespAlt"
66807666.00;0;0;0;0;908;"EQUADOR";"Equador";11/2/2020 00:00:00;;8
66807667.00;0;0;0;0;909;"VENEZUELA";"Venezuela";11/2/2020 00:00:00;;8
66807668.00;0;0;0;0;910;"GUIANA";"Guiana";11/2/2020 00:00:00;;8
66807669.00;0;0;0;0;911;"SURINAME";"Suriname";11/2/2020 00:00:00;;8
66807670.00;0;0;0;0;912;"GUIANA FRANCESA";"Guiana Francesa";11/2/2020 00:00:00;;8
66807671.00;0;0;0;0;113;"CETESB-SP";"Companhia de Tecnologia de Saneamento Ambiental";11/2/2020 00:00:00;;8
66807672.00;0;0;0;0;114;"INEMA-BA";"Instituto do Meio Ambiente e Recursos Hídricos - BA";11/2/2020 00:00:00;;8
66807673.00;0;0;0;0;116;"IMASUL-MS";"Instituto de Meio Ambiente de Mato Grosso do Sul";11/2/2020 00:00:00;;8
66807674.00;0;0;0;0;115;"SEDAM-RO";"Secretaria de Estado do Desenvolvimento Ambiental - RO";11/2/2020 00:00:00;;8
66807675.00;0;0;0;0;118;"RTK";"RTK Engenharia";11/2/2020 00:00:00;;8
66807676.00;0;0;0;0;120;"SEMAD-GO";"Secretaria do Meio Ambiente e Recursos Hídricos - GO";11/2/2020 00:00:00;;8
66807677.00;0;0;0;0;117;"CASAN";"Companhia Catarinense de Águas e Saneamento de SC";11/2/2020 00:00:00;;8
66807678.00;0;0;0;0;121;"SEMARH-AL";"Secretaria do Meio Ambiente e  Recursos Hídricos - AL";11/2/2020 00:00:00;;8
66807679.00;0;0;0;0;128;"UFSM";"Universidade  Federal de Santa Maria - RS";11/2/2020 00:00:00;;8
66807680.00;0;0;0;0;122;"CELG";"CELG Geração e Transmissão S.A";11/2/2020 00:00:00;;8
66807681.00;0;0;0;0;125;"UFAM";"Universidade Federal do Estado do Amazonas";11/2/2020 00:00:00;;8
66807682.00;0;0;0;0;123;"CEDAE";"Companhia Estadual de Águas e Esgotos";11/2/2020 00:00:00;;8
66807683.00;0;0;0;0;133;"CEB";"CEB Geração S.A.";11/2/2020 00:00:00;;8
66807684.00;0;0;0;0;126;"MANASA";"Madeireira Nacional S/A";11/2/2020 00:00:00;;8
66807685.00;0;0;0;0;129;"ENERCAN";"Campos Novos Energia S.A-ENERCAN";11/2/2020 00:00:00;;8
66807686.00;0;0;0;0;127;"INPE";"Instituto Nacional de Pesquisas Espaciais";11/2/2020 00:00:00;;8
