"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"EstadoCodigo";"Codigo";"CodigoIBGE";"Nome";"DataIns";"DataAlt";"RespAlt"
66804561.00;0;0;0;0;22;22061000;4106100;"CONSELHEIRO MAIRINCK";11/2/2020 00:00:00;;8
66804562.00;0;0;0;0;22;22062000;4106209;"CONTENDA";11/2/2020 00:00:00;;8
66804563.00;0;0;0;0;22;22063000;4106308;"CORBÉLIA";11/2/2020 00:00:00;;8
66804564.00;0;0;0;0;22;22065000;4106506;"CORONEL VIVIDA";11/2/2020 00:00:00;;8
66804565.00;0;0;0;0;22;22065500;4106555;"CORUMBATAÍ DO SUL";11/2/2020 00:00:00;;8
66804566.00;0;0;0;0;22;22065800;4106571;"CRUZEIRO DO IGUAÇU";11/2/2020 00:00:00;;8
66804567.00;0;0;0;0;22;22067000;4106704;"CRUZEIRO DO SUL";11/2/2020 00:00:00;;8
66804568.00;0;0;0;0;22;22068000;4106803;"CRUZ MACHADO";11/2/2020 00:00:00;;8
66804569.00;0;0;0;0;22;22069000;4107009;"CURIÚVA";11/2/2020 00:00:00;;8
66804570.00;0;0;0;0;22;22069500;4107108;"DIAMANTE DO NORTE";11/2/2020 00:00:00;;8
66804571.00;0;0;0;0;22;22070000;4107157;"DIAMANTE D'OESTE";11/2/2020 00:00:00;;8
66804572.00;0;0;0;0;22;22071000;4107207;"DOIS VIZINHOS";11/2/2020 00:00:00;;8
66804573.00;0;0;0;0;22;22071500;4107256;"DOURADINA";11/2/2020 00:00:00;;8
66804574.00;0;0;0;0;22;22072500;4128633;"DOUTOR ULYSSES";11/2/2020 00:00:00;;8
66804575.00;0;0;0;0;22;22073000;4107405;"ENÉAS MARQUES";11/2/2020 00:00:00;;8
66804576.00;0;0;0;0;22;22074000;4107504;"ENGENHEIRO BELTRÃO";11/2/2020 00:00:00;;8
66804577.00;0;0;0;0;22;22074700;4107553;"FAROL";11/2/2020 00:00:00;;8
66804578.00;0;0;0;0;22;22075000;4107603;"FAXINAL";11/2/2020 00:00:00;;8
66804579.00;0;0;0;0;22;22075500;4107652;"FAZENDA RIO GRANDE";11/2/2020 00:00:00;;8
66804580.00;0;0;0;0;22;22076500;4107751;"FIGUEIRA";11/2/2020 00:00:00;;8
66804581.00;0;0;0;0;22;22077000;4107801;"FLORAÍ";11/2/2020 00:00:00;;8
66804582.00;0;0;0;0;22;22078000;4107900;"FLORESTA";11/2/2020 00:00:00;;8
66804583.00;0;0;0;0;22;22079000;4108007;"FLORESTÓPOLIS";11/2/2020 00:00:00;;8
66804584.00;0;0;0;0;22;22080000;4108106;"FLÓRIDA";11/2/2020 00:00:00;;8
66804585.00;0;0;0;0;22;22082000;4108304;"FOZ DO IGUAÇU";11/2/2020 00:00:00;;8
66804586.00;0;0;0;0;22;22083000;4108320;"FRANCISCO ALVES";11/2/2020 00:00:00;;8
66804587.00;0;0;0;0;22;22085000;4108502;"GENERAL CARNEIRO";11/2/2020 00:00:00;;8
66804588.00;0;0;0;0;22;22085400;4108551;"GODOY MOREIRA";11/2/2020 00:00:00;;8
66804589.00;0;0;0;0;22;22086000;4108601;"GOIOERÊ";11/2/2020 00:00:00;;8
66804590.00;0;0;0;0;22;22087000;4108700;"GRANDES RIOS";11/2/2020 00:00:00;;8
66804591.00;0;0;0;0;22;22088000;4108809;"GUAÍRA";11/2/2020 00:00:00;;8
66804592.00;0;0;0;0;22;22090000;4109005;"GUAPIRAMA";11/2/2020 00:00:00;;8
66804593.00;0;0;0;0;22;22091000;4109104;"GUAPOREMA";11/2/2020 00:00:00;;8
66804594.00;0;0;0;0;22;22093000;4109302;"GUARANIAÇÚ";11/2/2020 00:00:00;;8
66804595.00;0;0;0;0;22;22094000;4109401;"GUARAPUAVA";11/2/2020 00:00:00;;8
66804596.00;0;0;0;0;22;22096000;4109609;"GUARATUBA";11/2/2020 00:00:00;;8
66804597.00;0;0;0;0;22;22096500;4109658;"HONÓRIO SERPA";11/2/2020 00:00:00;;8
66804598.00;0;0;0;0;22;22097000;4109708;"IBAITI";11/2/2020 00:00:00;;8
66804599.00;0;0;0;0;22;22098000;4109807;"IBIPORÃ";11/2/2020 00:00:00;;8
66804600.00;0;0;0;0;22;22099000;4109906;"ICARAIMA";11/2/2020 00:00:00;;8
66804601.00;0;0;0;0;22;22100500;4110052;"IGUATU";11/2/2020 00:00:00;;8
66804602.00;0;0;0;0;22;22101000;4110102;"IMBITUVA";11/2/2020 00:00:00;;8
66804603.00;0;0;0;0;22;22103000;4110300;"INAJÁ";11/2/2020 00:00:00;;8
66804604.00;0;0;0;0;22;22104000;4110409;"INDIANÓPOLIS";11/2/2020 00:00:00;;8
66804605.00;0;0;0;0;22;22105000;4110508;"IPIRANGA";11/2/2020 00:00:00;;8
66804606.00;0;0;0;0;22;22106500;4110656;"IRACEMA DO OESTE";11/2/2020 00:00:00;;8
66804607.00;0;0;0;0;22;22107000;4110706;"IRATI";11/2/2020 00:00:00;;8
66804608.00;0;0;0;0;22;22109000;4110904;"ITAGUAJÉ";11/2/2020 00:00:00;;8
66804609.00;0;0;0;0;22;22109500;4110953;"ITAIPULÂNDIA";11/2/2020 00:00:00;;8
66804610.00;0;0;0;0;22;22111000;4111100;"ITAMBÉ";11/2/2020 00:00:00;;8
66804611.00;0;0;0;0;22;22112000;4111209;"ITAPEJARA D'OESTE";11/2/2020 00:00:00;;8
66804612.00;0;0;0;0;22;22113000;4111308;"ITAÚNA DO SUL";11/2/2020 00:00:00;;8
66804613.00;0;0;0;0;22;22114000;4111407;"IVAÍ";11/2/2020 00:00:00;;8
66804614.00;0;0;0;0;22;22115500;4111555;"IVATÉ";11/2/2020 00:00:00;;8
66804615.00;0;0;0;0;22;22116000;4111605;"IVATUBA";11/2/2020 00:00:00;;8
66804616.00;0;0;0;0;22;22117000;4111704;"JABOTI";11/2/2020 00:00:00;;8
66804617.00;0;0;0;0;22;22119000;4111902;"JAGUAPITÃ";11/2/2020 00:00:00;;8
66804618.00;0;0;0;0;22;22120000;4112009;"JAGUARIAÍVA";11/2/2020 00:00:00;;8
66804619.00;0;0;0;0;22;22122000;4112207;"JANIÓPOLIS";11/2/2020 00:00:00;;8
66804620.00;0;0;0;0;22;22123000;4112306;"JAPIRA";11/2/2020 00:00:00;;8
66804621.00;0;0;0;0;22;22125000;4112504;"JARDIM ALEGRE";11/2/2020 00:00:00;;8
66804622.00;0;0;0;0;22;22126000;4112603;"JARDIM OLINDA";11/2/2020 00:00:00;;8
66804623.00;0;0;0;0;22;22127000;4112702;"JATAIZINHO";11/2/2020 00:00:00;;8
66804624.00;0;0;0;0;22;22127500;4112751;"JESUITAS";11/2/2020 00:00:00;;8
66804625.00;0;0;0;0;22;22128000;4112801;"JOAQUIM TÁVORA";11/2/2020 00:00:00;;8
66804626.00;0;0;0;0;22;22129000;4112900;"JUNDIAÍ DO SUL";11/2/2020 00:00:00;;8
66804627.00;0;0;0;0;22;22129500;4112959;"JURANDA";11/2/2020 00:00:00;;8
66804628.00;0;0;0;0;22;22130000;4113007;"JUSSARA";11/2/2020 00:00:00;;8
66804629.00;0;0;0;0;22;22131000;4113106;"KALORE";11/2/2020 00:00:00;;8
66804630.00;0;0;0;0;22;22132000;4113205;"LAPA";11/2/2020 00:00:00;;8
66804631.00;0;0;0;0;22;22132500;4113254;"LARANJAL";11/2/2020 00:00:00;;8
66804632.00;0;0;0;0;22;22133000;4113304;"LARANJEIRAS DO SUL";11/2/2020 00:00:00;;8
66804633.00;0;0;0;0;22;22134000;4113403;"LEÓPOLIS";11/2/2020 00:00:00;;8
66804634.00;0;0;0;0;22;22134200;4113429;"LIDIANÓPOLIS";11/2/2020 00:00:00;;8
66804635.00;0;0;0;0;22;22134400;4113452;"LINDOESTE";11/2/2020 00:00:00;;8
66804636.00;0;0;0;0;22;22135000;4113502;"LOANDA";11/2/2020 00:00:00;;8
